timestamp,hour,day_of_week,is_weekend,patient_count,avg_ctas,high_acuity_ratio,avg_waiting_time,max_waiting_time,doctors_available,nurses_available,beds_available,arrival_rate,discharge_rate,is_holiday,flu_season,temperature,crowding_level
2023-01-01 00:00:00,0,7,1,42,3.74,,132.4,249.3,4.0,,22.0,19.5,7.5,1,1,11.5,2
2023-01-01 00:30:00,0,7,1,41,3.08,0.297,80.1,152.7,1.0,8.0,30.0,,12.9,1,1,10.0,1
2023-01-01 01:00:00,1,7,1,51,3.6,0.183,97.2,213.4,1.0,3.0,24.0,15.1,18.0,1,1,11.9,1
2023-01-01 01:30:00,1,7,1,57,3.24,0.352,132.2,297.7,1.0,7.0,22.0,18.5,14.2,1,1,14.6,2
2023-01-01 02:00:00,2,7,1,48,3.33,,,198.5,1.0,1.0,29.0,14.6,12.6,1,1,10.0,1
2023-01-01 02:30:00,2,7,1,52,3.44,0.231,,273.5,1.0,4.0,23.0,15.8,13.0,1,1,10.0,1
2023-01-01 03:00:00,3,7,1,39,3.39,0.308,80.0,149.9,2.0,6.0,30.0,15.4,12.6,1,1,14.7,1
2023-01-01 03:30:00,3,7,1,43,2.93,0.349,126.8,246.1,1.0,5.0,25.0,16.1,11.8,1,1,,1
2023-01-01 04:00:00,4,7,1,56,3.84,,114.2,229.5,1.0,,24.0,21.8,22.4,1,1,10.0,1
2023-01-01 04:30:00,4,7,1,47,3.77,0.187,,,1.0,7.0,23.0,16.9,11.2,1,1,11.6,2
2023-01-01 05:00:00,5,7,1,39,3.38,0.252,,192.2,1.0,2.0,27.0,23.7,,1,1,10.0,1
2023-01-01 05:30:00,5,7,1,42,3.71,0.248,80.2,209.0,1.0,,31.0,20.1,,1,1,,0
2023-01-01 06:00:00,6,7,1,83,2.89,0.309,125.3,254.1,4.0,11.0,17.0,,,1,1,10.7,2
2023-01-01 06:30:00,6,7,1,84,,0.335,167.6,318.1,4.0,9.0,17.0,27.5,,1,1,,2
2023-01-01 07:00:00,7,7,1,64,3.03,0.269,172.8,317.1,3.0,9.0,,29.7,24.7,1,1,10.0,2
2023-01-01 07:30:00,7,7,1,76,2.66,0.396,172.7,331.0,,7.0,17.0,33.5,27.5,1,1,10.0,2
2023-01-01 08:00:00,8,7,1,72,3.2,0.261,,275.3,5.0,8.0,13.0,20.0,,1,1,,2
2023-01-01 08:30:00,8,7,1,72,2.8,0.362,148.9,340.0,3.0,13.0,25.0,33.1,28.4,1,1,,2
2023-01-01 09:00:00,9,7,1,86,2.53,0.373,158.3,,,8.0,12.0,25.5,25.6,1,1,10.0,2
2023-01-01 09:30:00,9,7,1,70,1.93,0.418,174.7,,4.0,13.0,22.0,19.1,14.5,1,1,10.0,2
2023-01-01 10:00:00,10,7,1,87,2.7,0.444,188.6,350.2,5.0,,15.0,37.2,32.8,1,1,14.4,2
2023-01-01 10:30:00,10,7,1,85,2.83,0.34,152.4,289.6,5.0,10.0,,,31.9,1,1,10.0,2
2023-01-01 11:00:00,11,7,1,91,3.14,,175.5,426.7,6.0,15.0,11.0,30.6,,1,1,10.2,2
